FACILITY_NAME,FACILITY_ADDRESS,CITY_CODE,STATION_NUMBER,ENGINE,RESCUE,TRUCK,BATTALION,CAPABILITI,OTHER_UNIT,CONSTRUCTION_YEAR,LONG,LAT,ObjectId
STATION 34 - CC,8675 W OQUENDO RD,CC,34,34,34,34,6,ALS,,1/20/2004,-115.281067489,36.0811595916,68
STATION 26 - CC,4030 S EL CAPITAN WY,CC,26,"26,226",26326426,,6,ALS,REHAB26,10/8/1999,-115.287569738,36.1164260943,69
STATION 47 - CLV,91 RIDGE PINE ST,CLV,47,47,47,,10,ALS,MC47,4/28/2007,-115.34975206,36.181854176,70
STATION 57 - NLV,3120 E AZURE AV,NLV,57,57,57,,5,ALS,SPECIALOPS57,1/15/2007,-115.105095825,36.2731292842,71
STATION 29 - CC,7530 PARADISE RD,CC,29,29,,,2,ALS,BAT6,10/1/2007,-115.140138475,36.0531813296,72
STATION 48 - CLV,9133 ELKHORN RD,CLV,48,48,48,48,4,ALS,,12/9/2008,-115.295222379,36.2923076911,73
STATION 102 - CLV,633 N MOJAVE RD,CLV,102,,,,1,ALS,ARSON/OMB SQUAD,2007,-115.106824865,36.1748529751,74
STATION 53 - NLV,2804 W GOWAN RD,NLV,53,53,53,,15,ALS,BR53,2009,-115.178227804,36.226158906,75
STATION 33 - CC,865 E DESERT INN RD,CC,33,"33,233",33233933,,2,ALS,"EMS2,MC33",10/12/2009,-115.14433143,36.1293034699,76
STATION 32 - CC,2550 W HARMON AV,CC,32,32,32232732,,2,ALS,"R832,R932,SQUAD32",12/2009,-115.177295619,36.1097026353,77
STATION 66 - CC,7929 MOUNTAINS EDGE PKY,CC,66,66,,,6,ALS,SQUAD66,8/20/2008,-115.264709132,36.0047457356,78
STATION 23 - CC,4250 E ALEXANDER RD,CC,23,23,23,,6,ALS,,,-115.081453333,36.2331082792,79
STATION 103 - CLV,190 UPLAND BLVD,CLV,103,103,103,,10,ALS,,1962,-115.222935282,36.1731338957,80
STATION 107 - CLV,9398 SUNDIAL DR,CLV,107,107,107,,4,ALS,,6/12/2012,-115.299091439,36.2081379561,81
STATION 106 - CLV,1888 STELLA LAKE ST,CLV,106,106,106,,1,ALS,,7/24/2012,-115.163953859,36.1931714076,82
STATION 3 - MES,3 JOHN DEERE DR,MES,3,3,3,,0,,,,-114.124826856,36.8034143214,83
STATION 108 - CLV,4555 E BONANZA RD,CLV,108,108,108,,1,ALS,,8/14/2014,-115.076473867,36.1731406869,84
STATION 853 - CC,4650 KYLE CANYON RD,CC,853,"2853,5320,81",81853,,0,,"E853,BE5320,BE853,C853,SQ81,SQ281,SQ853,WT81,WT853",7/2015,-115.645030455,36.2599352125,85
STATION 16 - CC,6131 E WASHINGTON AVE,CC,16,16,,,3,ALS,,2016,-115.038262464,36.1809171044,86
STATION 91 - HEN,2901 DEMOCRACY DR,HEN,91,91,91,,9,ALS,,2017,-115.114002164,35.9265302032,87
STATION 70 - CC,1250 TROUT CANYON RD,CC,70,,,,0,,"SQ70,WT70",10/1/2016,-115.679586294,36.1817532617,88
STATION 856 - CC,9301 LEE CANYON RD,CC,856,856,,,0,,SQ856,7/2015,-115.677412474,36.3049765998,89
